"D_X","E850","SH2","SI","SIC","SIN","SIP","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p_rgh","sourceXI_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.19455,0.0012622,0.21115,0.0025681,0.047137,0.013852,1692.7,0,-7.3843e-13,9.9067e-12,0,14.264,13.331,0.18198,57.94,0.73921,6.3445,5.9295,0.080944,0,0.44491,20.196,2.8775e-07,1.0589e-07,1.0021,1,0.000198,0.0015,0.000198,5e-06
1.728e-11,0.18783,0.0012608,0.21113,0.0025641,0.047141,0.013854,1692.5,0,-1.1422e-12,1.0614e-11,0,14.263,13.33,0.18197,57.936,0.73915,6.3442,5.9291,0.08094,0,0.44488,20.193,2.8773e-07,1.0587e-07,1.0021,1,0.000201,0.0015,0.000201,5e-06
1.728e-11,0.18141,0.0012594,0.2111,0.0025601,0.047145,0.013856,1692.4,0,-1.5786e-12,1.1399e-11,0,14.262,13.329,0.18196,57.931,0.73909,6.3438,5.9288,0.080935,0,0.44485,20.189,2.8772e-07,1.0584e-07,1.002,1,0.000204,0.0015,0.000204,5e-06
1.728e-11,0.17527,0.0012579,0.21107,0.0025561,0.04715,0.013859,1692.3,0,-2.0475e-12,1.2261e-11,0,14.261,13.328,0.18195,57.926,0.73902,6.3434,5.9284,0.08093,0,0.44483,20.185,2.8771e-07,1.0582e-07,1.0019,1,0.000207,0.0015,0.000207,5e-06
1.728e-11,0.16914,0.0012565,0.21104,0.0025521,0.047154,0.013861,1692.2,0,-2.5164e-12,1.3123e-11,0,14.26,13.328,0.18194,57.921,0.73896,6.343,5.928,0.080925,0,0.4448,20.181,2.8769e-07,1.058e-07,1.0018,1,0.00021,0.0015,0.00021,5e-06
1.728e-11,0.16354,0.0012549,0.21101,0.002548,0.047158,0.013864,1692,0,-3.0557e-12,1.4178e-11,0,14.26,13.327,0.18193,57.916,0.7389,6.3426,5.9276,0.080919,0,0.44477,20.175,2.8768e-07,1.0577e-07,1.0017,1,0.000213,0.0015,0.000213,5e-06
1.728e-11,0.15795,0.0012533,0.21098,0.0025439,0.047162,0.013866,1691.9,0,-3.595e-12,1.5233e-11,0,14.259,13.326,0.18191,57.911,0.73883,6.3422,5.9273,0.080914,0,0.44474,20.17,2.8766e-07,1.0575e-07,1.0017,1,0.000216,0.0015,0.000216,5e-06
1.728e-11,0.15259,0.0012517,0.21095,0.0025398,0.047167,0.013868,1691.7,0,-4.1727e-12,1.6405e-11,0,14.258,13.325,0.1819,57.905,0.73876,6.3417,5.9269,0.080909,0,0.44471,20.163,2.8764e-07,1.0573e-07,1.0016,1,0.000219,0.0015,0.000219,5e-06
1.728e-11,0.14747,0.0012501,0.21092,0.0025357,0.047171,0.013871,1691.6,0,-4.7889e-12,1.7695e-11,0,14.257,13.324,0.18189,57.9,0.7387,6.3413,5.9264,0.080903,0,0.44468,20.156,2.8763e-07,1.057e-07,1.0015,1,0.000222,0.0015,0.000222,5e-06
1.728e-11,0.14236,0.0012484,0.21089,0.0025315,0.047175,0.013873,1691.5,0,-5.4051e-12,1.8986e-11,0,14.256,13.323,0.18188,57.895,0.73863,6.3409,5.926,0.080897,0,0.44465,20.149,2.8761e-07,1.0568e-07,1.0014,1,0.000225,0.0015,0.000225,5e-06
1.728e-11,0.13768,0.0012467,0.21085,0.0025274,0.04718,0.013876,1691.3,0,-6.0973e-12,2.0564e-11,0,14.255,13.322,0.18186,57.889,0.73856,6.3404,5.9256,0.080892,0,0.44462,20.14,2.8759e-07,1.0566e-07,1.0013,1,0.000228,0.0015,0.000228,5e-06
1.728e-11,0.133,0.0012449,0.21082,0.0025232,0.047184,0.013878,1691.2,0,-6.7895e-12,2.2142e-11,0,14.254,13.321,0.18185,57.884,0.73849,6.3399,5.9252,0.080886,0,0.44458,20.131,2.8758e-07,1.0564e-07,1.0012,1,0.000231,0.0015,0.000231,5e-06
1.728e-11,0.12852,0.0012431,0.21079,0.002519,0.047188,0.01388,1691,0,-7.5161e-12,2.3892e-11,0,14.253,13.32,0.18184,57.879,0.73842,6.3394,5.9247,0.08088,0,0.44455,20.121,2.8756e-07,1.0561e-07,1.0011,1,0.000234,0.0015,0.000234,5e-06
1.728e-11,0.12424,0.0012413,0.21076,0.0025149,0.047192,0.013883,1690.9,0,-8.2773e-12,2.5814e-11,0,14.251,13.319,0.18182,57.873,0.73835,6.339,5.9243,0.080873,0,0.44452,20.109,2.8754e-07,1.0559e-07,1.001,1,0.000237,0.0015,0.000237,5e-06
1.728e-11,0.11996,0.0012394,0.21072,0.0025107,0.047197,0.013885,1690.7,0,-9.0384e-12,2.7736e-11,0,14.25,13.318,0.18181,57.868,0.73828,6.3385,5.9238,0.080867,0,0.44448,20.097,2.8752e-07,1.0557e-07,1.001,1,0.00024,0.0015,0.00024,5e-06
1.728e-11,0.11605,0.0012375,0.21069,0.0025064,0.047201,0.013888,1690.6,0,-9.8424e-12,3.006e-11,0,14.249,13.317,0.18179,57.862,0.73821,6.338,5.9233,0.080861,0,0.44445,20.082,2.875e-07,1.0555e-07,1.0009,1,0.000243,0.0015,0.000243,5e-06
1.728e-11,0.11213,0.0012355,0.21065,0.0025022,0.047205,0.01389,1690.4,0,-1.0646e-11,3.2384e-11,0,14.248,13.316,0.18178,57.856,0.73814,6.3374,5.9228,0.080854,0,0.44441,20.066,2.8748e-07,1.0553e-07,1.0008,1,0.000246,0.0015,0.000246,5e-06
1.728e-11,0.10839,0.0012335,0.21062,0.0024979,0.04721,0.013893,1690.3,0,-1.1447e-11,3.4935e-11,0,14.247,13.315,0.18176,57.851,0.73807,6.3369,5.9224,0.080847,0,0.44437,20.049,2.8746e-07,1.0551e-07,1.0007,1,0.000249,0.0015,0.000249,5e-06
1.728e-11,0.1048,0.0012315,0.21058,0.0024937,0.047214,0.013895,1690.1,0,-1.2246e-11,3.7714e-11,0,14.246,13.314,0.18175,57.845,0.73799,6.3364,5.9219,0.08084,0,0.44434,20.029,2.8743e-07,1.0548e-07,1.0006,1,0.000252,0.0015,0.000252,5e-06
