"D_X","E850","SI","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","sourceXI_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.062028,0.21403,1604.2,0,-7.5643e-12,2.2914e-11,0,6.9611,6.5057,65.747,0.83881,6.0572,5.661,0.077279,0,2.7464e-07,1.0049,1,0.000174,0.0015,0.000174,5e-06
1.728e-11,0.064041,0.21401,1604.2,0,-7.6571e-12,2.3776e-11,0,6.9607,6.5053,65.749,0.83883,6.0569,5.6606,0.077275,0,2.7462e-07,1.0049,1,0.000177,0.0015,0.000177,5e-06
1.728e-11,0.066054,0.214,1604.2,0,-7.7499e-12,2.4639e-11,0,6.9602,6.5049,65.75,0.83885,6.0565,5.6603,0.07727,0,2.746e-07,1.0049,1,0.00018,0.0015,0.00018,5e-06
1.728e-11,0.068236,0.21398,1604.2,0,-7.8385e-12,2.5571e-11,0,6.9598,6.5045,65.751,0.83886,6.0562,5.66,0.077265,0,2.7459e-07,1.0049,1,0.000183,0.0015,0.000183,5e-06
1.728e-11,0.070417,0.21397,1604.2,0,-7.9271e-12,2.6503e-11,0,6.9594,6.5041,65.753,0.83888,6.0558,5.6596,0.077261,0,2.7457e-07,1.0049,1,0.000186,0.0015,0.000186,5e-06
1.728e-11,0.072691,0.21396,1604.2,0,-8.0136e-12,2.7472e-11,0,6.9589,6.5037,65.754,0.8389,6.0554,5.6593,0.077256,0,2.7456e-07,1.0049,1,0.000189,0.0015,0.000189,5e-06
1.728e-11,0.075056,0.21394,1604.2,0,-8.098e-12,2.8478e-11,0,6.9585,6.5033,65.755,0.83891,6.0551,5.6589,0.077251,0,2.7454e-07,1.0049,1,0.000192,0.0015,0.000192,5e-06
1.728e-11,0.077422,0.21393,1604.2,0,-8.1824e-12,2.9483e-11,0,6.958,6.5029,65.757,0.83893,6.0547,5.6586,0.077247,0,2.7452e-07,1.005,1,0.000195,0.0015,0.000195,5e-06
1.728e-11,0.079989,0.21391,1604.2,0,-8.2627e-12,3.0566e-11,0,6.9576,6.5024,65.758,0.83895,6.0543,5.6582,0.077242,0,2.745e-07,1.005,1,0.000198,0.0015,0.000198,5e-06
1.728e-11,0.082556,0.21389,1604.2,0,-8.343e-12,3.1648e-11,0,6.9571,6.502,65.759,0.83897,6.0539,5.6579,0.077237,0,2.7449e-07,1.005,1,0.000201,0.0015,0.000201,5e-06
