"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.001335,0.0015,0.001335,5e-06
1,0.001338,0.0015,0.001338,5e-06
1,0.001341,0.0015,0.001341,5e-06
1,0.001344,0.0015,0.001344,5e-06
1,0.001347,0.0015,0.001347,5e-06
1,0.00135,0.0015,0.00135,5e-06
1,0.001353,0.0015,0.001353,5e-06
1,0.001356,0.0015,0.001356,5e-06
1,0.001359,0.0015,0.001359,5e-06
1,0.001362,0.0015,0.001362,5e-06
1,0.001365,0.0015,0.001365,5e-06
1,0.001368,0.0015,0.001368,5e-06
1,0.001371,0.0015,0.001371,5e-06
1,0.001374,0.0015,0.001374,5e-06
1,0.001377,0.0015,0.001377,5e-06
1,0.00138,0.0015,0.00138,5e-06
1,0.001383,0.0015,0.001383,5e-06
1,0.001386,0.0015,0.001386,5e-06
1,0.001389,0.0015,0.001389,5e-06
1,0.001392,0.0015,0.001392,5e-06
1,0.001395,0.0015,0.001395,5e-06
1,0.001398,0.0015,0.001398,5e-06
1,0.001401,0.0015,0.001401,5e-06
1,0.001404,0.0015,0.001404,5e-06
1,0.001407,0.0015,0.001407,5e-06
1,0.00141,0.0015,0.00141,5e-06
1,0.001413,0.0015,0.001413,5e-06
1,0.001416,0.0015,0.001416,5e-06
1,0.001419,0.0015,0.001419,5e-06
1,0.001422,0.0015,0.001422,5e-06
1,0.001425,0.0015,0.001425,5e-06
1,0.001428,0.0015,0.001428,5e-06
1,0.001431,0.0015,0.001431,5e-06
1,0.001434,0.0015,0.001434,5e-06
1,0.001437,0.0015,0.001437,5e-06
1,0.00144,0.0015,0.00144,5e-06
1,0.001443,0.0015,0.001443,5e-06
1,0.001446,0.0015,0.001446,5e-06
1,0.001449,0.0015,0.001449,5e-06
1,0.001452,0.0015,0.001452,5e-06
1,0.001455,0.0015,0.001455,5e-06
1,0.001458,0.0015,0.001458,5e-06
1,0.001461,0.0015,0.001461,5e-06
1,0.001464,0.0015,0.001464,5e-06
1,0.001467,0.0015,0.001467,5e-06
1,0.00147,0.0015,0.00147,5e-06
1,0.001473,0.0015,0.001473,5e-06
1,0.001476,0.0015,0.001476,5e-06
1,0.001479,0.0015,0.001479,5e-06
1,0.001482,0.0015,0.001482,5e-06
1,0.001485,0.0015,0.001485,5e-06
1,0.001488,0.0015,0.001488,5e-06
1,0.001491,0.0015,0.001491,5e-06
1,0.001494,0.0015,0.001494,5e-06
