"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6914.2,1.6e-10,4.8342,0.24248,0,0.24912,0.015643,0.0298,0.0055913,1623.5,0.03231,0,1.0406e-11,1.1386e-12,0,7.0234,6.5639,0.089606,66.051,37.107,0.84268,6.4436,6.022,0.082208,0,0.26142,19.794,20.893,2.9214e-07,0.63614,7.3627e-06,2.0324e-07,1.0145,1,0.000111,0.0015,0.000111,5e-06
6914,1.6e-10,4.6412,0.24334,0,0.24911,0.015631,0.029818,0.0056019,1623.4,0.032402,0,1.0581e-11,1.1974e-12,0,7.0234,6.5639,0.089605,66.049,37.106,0.84266,6.4436,6.022,0.082208,0,0.26142,19.764,20.893,2.9214e-07,0.61882,7.1622e-06,2.0322e-07,1.0145,1,0.000114,0.0015,0.000114,5e-06
6913.8,1.6e-10,4.4589,0.24422,0,0.24909,0.015617,0.029838,0.0056128,1623.4,0.032496,0,1.0751e-11,1.2577e-12,0,7.0234,6.5639,0.089605,66.047,37.105,0.84264,6.4435,6.022,0.082207,0,0.26142,19.734,20.893,2.9214e-07,0.60183,6.9657e-06,2.032e-07,1.0145,1,0.000117,0.0015,0.000117,5e-06
6913.6,1.6e-10,4.2766,0.2451,0,0.24908,0.015604,0.029857,0.0056237,1623.4,0.032591,0,1.0921e-11,1.318e-12,0,7.0233,6.5639,0.089605,66.045,37.104,0.84261,6.4435,6.022,0.082207,0,0.26142,19.704,20.893,2.9213e-07,0.58485,6.7691e-06,2.0317e-07,1.0144,1,0.00012,0.0015,0.00012,5e-06
6913.4,1.6e-10,4.1132,0.24601,0,0.24906,0.015591,0.029877,0.005635,1623.3,0.03269,0,1.108e-11,1.3802e-12,0,7.0233,6.5639,0.089604,66.043,37.103,0.84259,6.4435,6.022,0.082207,0,0.26142,19.674,20.893,2.9213e-07,0.56857,6.5807e-06,2.0315e-07,1.0144,1,0.000123,0.0015,0.000123,5e-06
6913.2,1.6e-10,3.9497,0.24692,0,0.24904,0.015577,0.029897,0.0056463,1623.3,0.032789,0,1.124e-11,1.4424e-12,0,7.0233,6.5638,0.089604,66.042,37.102,0.84257,6.4435,6.0219,0.082207,0,0.26142,19.645,20.893,2.9213e-07,0.55229,6.3923e-06,2.0313e-07,1.0144,1,0.000126,0.0015,0.000126,5e-06
6913,1.6e-10,3.7947,0.24784,0,0.24902,0.015563,0.029917,0.0056578,1623.3,0.03289,0,1.1395e-11,1.5058e-12,0,7.0233,6.5638,0.089604,66.04,37.101,0.84254,6.4434,6.0219,0.082206,0,0.26141,19.615,20.893,2.9213e-07,0.53638,6.2081e-06,2.0311e-07,1.0144,1,0.000129,0.0015,0.000129,5e-06
6912.8,1.6e-10,3.648,0.24878,0,0.249,0.015549,0.029937,0.0056695,1623.2,0.032994,0,1.1544e-11,1.5704e-12,0,7.0233,6.5638,0.089604,66.038,37.1,0.84252,6.4434,6.0219,0.082206,0,0.26141,19.585,20.893,2.9213e-07,0.52083,6.0281e-06,2.0308e-07,1.0143,1,0.000132,0.0015,0.000132,5e-06
6912.6,1.6e-10,3.5012,0.24972,0,0.24899,0.015535,0.029958,0.0056812,1623.2,0.033097,0,1.1694e-11,1.635e-12,0,7.0232,6.5638,0.089603,66.036,37.099,0.84249,6.4434,6.0219,0.082206,0,0.26141,19.555,20.893,2.9213e-07,0.50528,5.8482e-06,2.0306e-07,1.0143,1,0.000135,0.0015,0.000135,5e-06
6912.4,1.6e-10,3.3693,0.25069,0,0.24897,0.01552,0.029979,0.0056932,1623.1,0.033205,0,1.1835e-11,1.701e-12,0,7.0232,6.5637,0.089603,66.034,37.098,0.84247,6.4434,6.0218,0.082205,0,0.26141,19.525,20.893,2.9213e-07,0.49047,5.6768e-06,2.0304e-07,1.0143,1,0.000138,0.0015,0.000138,5e-06
