"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.37872,0.7508,0.21485,0.0027669,0.013826,0.15893,14.63,0.19972,56.675,31.84,6.0133,0,18.636,20.063,2.9173e-07,4.3007e-07,7.9626e-08,1.0049,1,0.000144,0.0015,0.000144,5e-06
1.728e-11,0.36555,0.75097,0.21482,0.0027634,0.013828,0.15899,14.63,0.19972,56.672,31.838,6.0132,0,18.606,20.063,2.9172e-07,4.0436e-07,7.9595e-08,1.0048,1,0.000147,0.0015,0.000147,5e-06
1.728e-11,0.35239,0.75114,0.2148,0.0027598,0.013831,0.15905,14.63,0.19971,56.668,31.836,6.0131,0,18.577,20.063,2.9171e-07,3.7865e-07,7.9564e-08,1.0048,1,0.00015,0.0015,0.00015,5e-06
1.728e-11,0.34043,0.75131,0.21478,0.0027562,0.013833,0.15911,14.629,0.19971,56.665,31.834,6.0129,0,18.547,20.063,2.917e-07,3.5512e-07,7.9533e-08,1.0047,1,0.000153,0.0015,0.000153,5e-06
1.728e-11,0.32847,0.75148,0.21476,0.0027526,0.013835,0.15917,14.629,0.1997,56.661,31.832,6.0128,0,18.517,20.063,2.917e-07,3.316e-07,7.9502e-08,1.0047,1,0.000156,0.0015,0.000156,5e-06
1.728e-11,0.31705,0.75165,0.21474,0.002749,0.013837,0.15923,14.629,0.1997,56.658,31.83,6.0126,0,18.488,20.063,2.9169e-07,3.0908e-07,7.9472e-08,1.0046,1,0.000159,0.0015,0.000159,5e-06
1.728e-11,0.30617,0.75182,0.21471,0.0027453,0.01384,0.1593,14.628,0.19969,56.654,31.828,6.0124,0,18.458,20.063,2.9168e-07,2.8755e-07,7.9441e-08,1.0046,1,0.000162,0.0015,0.000162,5e-06
1.728e-11,0.29528,0.752,0.21469,0.0027416,0.013842,0.15936,14.628,0.19969,56.651,31.826,6.0123,0,18.428,20.063,2.9167e-07,2.6602e-07,7.9411e-08,1.0045,1,0.000165,0.0015,0.000165,5e-06
1.728e-11,0.28537,0.75217,0.21467,0.0027378,0.013844,0.15943,14.627,0.19968,56.647,31.824,6.0121,0,18.398,20.063,2.9166e-07,2.463e-07,7.9381e-08,1.0045,1,0.000168,0.0015,0.000168,5e-06
1.728e-11,0.27546,0.75234,0.21464,0.0027341,0.013846,0.15949,14.627,0.19968,56.643,31.822,6.012,0,18.369,20.063,2.9165e-07,2.2659e-07,7.9351e-08,1.0044,1,0.000171,0.0015,0.000171,5e-06
