"ALambda_0","D_X","E850","SAC","SI","SIC","SIP","SLambda_0","SS","U:0","U:1","U:2","XI_VS","XI_alpha","XPB","XPB_VS","XS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6248.2,6.0828e-12,0.3067,0.75682,0.20364,0.0021551,0.013866,1659.5,0.17785,1.3158e-11,4.9983e-11,0,13.465,0.18381,59.688,33.533,4.0637,3.7979,0.0028438,18.486,20.031,1.8368e-07,2.9618e-07,3.6726e-07,0.99716,1,0.000156,0.0015,0.000156,5e-06
6180,3.487e-12,0.29571,0.75699,0.20362,0.0021515,0.013869,1641.8,0.17792,1.4172e-11,6.2521e-11,0,13.327,0.18193,59.037,33.167,4.022,3.7589,0.013549,17.92,19.496,1.8167e-07,2.7105e-07,3.6269e-07,0.98645,1,0.000159,0.0015,0.000159,5e-06
6052.3,1.7481e-12,0.28518,0.75716,0.20361,0.0021479,0.013871,1608.5,0.17799,1.2428e-11,7.7114e-11,0,13.069,0.1784,57.817,32.482,3.9437,3.6857,0.033642,17.117,18.721,1.781e-07,2.4514e-07,3.5468e-07,0.96636,1,0.000162,0.0015,0.000162,5e-06
5924.6,9.153e-15,0.27466,0.75732,0.2036,0.0021443,0.013873,1575.3,0.17806,1.0685e-11,9.1708e-11,0,12.81,0.17488,56.597,31.796,3.8653,3.6124,0.053736,16.313,17.947,1.7454e-07,2.1924e-07,3.4666e-07,0.94626,1,0.000165,0.0015,0.000165,5e-06
4896.8,5.9614e-15,0.26761,0.75743,0.20359,0.0021411,0.013875,1302.7,0.17811,2.5833e-11,1.08e-10,0,10.606,0.14478,46.778,26.28,3.1994,2.9901,0.21759,16.592,18.253,1.4445e-07,1.7462e-07,2.8607e-07,0.78241,1,0.000168,0.0015,0.000168,5e-06
3868.9,2.7698e-15,0.26056,0.75755,0.20358,0.0021378,0.013877,1030.2,0.17816,4.0982e-11,1.243e-10,0,8.4013,0.11469,36.96,20.764,2.5335,2.3678,0.38145,16.871,18.559,1.1437e-07,1.3001e-07,2.2548e-07,0.61855,1,0.000171,0.0015,0.000171,5e-06
2800.2,9.9336e-16,0.25583,0.75764,0.20357,0.0021349,0.013879,746.25,0.1782,5.4928e-11,1.3658e-10,0,6.0961,0.08322,26.751,15.028,1.8377,1.7174,0.55205,17.342,19.056,8.2893e-08,8.9535e-08,1.6271e-07,0.44795,1,0.000174,0.0015,0.000174,5e-06
1690.7,6.3207e-16,0.25342,0.7577,0.20357,0.0021323,0.01388,450.94,0.17823,6.7671e-11,1.4484e-10,0,3.6903,0.050378,16.151,9.0734,1.1118,1.0391,0.72938,18.004,19.745,5.003e-08,5.3191e-08,9.7748e-08,0.27062,1,0.000177,0.0015,0.000177,5e-06
581.06,2.7077e-16,0.251,0.75776,0.20356,0.0021297,0.013882,155.63,0.17827,8.0414e-11,1.531e-10,0,1.2846,0.017536,5.5508,3.1185,0.38602,0.36077,0.90672,18.666,20.433,1.7167e-08,1.6846e-08,3.2791e-08,0.093279,1,0.00018,0.0015,0.00018,5e-06
365.37,2.6297e-16,0.2504,0.75781,0.20356,0.0021274,0.013883,97.884,0.17829,6.1077e-11,1.3745e-10,0,0.80829,0.011034,3.4904,1.9609,0.24283,0.22694,0.94134,18.481,20.277,1.0802e-08,1.0583e-08,2.0616e-08,0.058663,1,0.000183,0.0015,0.000183,5e-06
